URL,Brand,Model,Hits,Became Fan,Launch Expected Year,Height (mm),Width (mm),Thickness (mm),Body_Weight (g),Display_Type,Pixels_X,Pixels_Y,Display Size (inches),Screen_to_Body_Ratio (%),RAM (GB),Main Camera_Single (MP),Selfie camera_Single (MP),Sound_3.5mm jack,Comms_Bluetooth,Comms_NFC,Battery_Capacity (mAh),Price in USD
https://www.gsmarena.com/acer_betouch_e400-3154.php,Acer,Acer beTouch E400,315311,12,2010.0,115.0,59.3,12.0,125.0,"TFT resistive touchscreen, 256K colors",320.0,480.0,3.2,44.7,0.25,3.15,,1.0,2.0,4161.0,1090.0,106.4
https://www.gsmarena.com/xiaomi_mi_1s-4929.php,Xiaomi,Xiaomi Mi 1S,2084613,163,2012.0,125.0,63.0,11.9,149.0,TFT,480.0,854.0,4.0,56.0,1.0,8.0,2.0,1.0,2.1,,1930.0,245.1
https://www.gsmarena.com/lg_joy-7054.php,LG,LG Joy,607924,23,2015.0,122.7,64.0,11.9,128.0,TFT,480.0,800.0,4.0,58.0,0.5,5.0,,1.0,4.0,,1900.0,99.9
https://www.gsmarena.com/blackberry_evolve_x-9282.php,BlackBerry,BlackBerry Evolve X,1595494,118,2018.0,159.1,76.8,8.8,170.0,IPS LCD,1080.0,2160.0,5.99,75.8,6.0,,16.0,1.0,5.0,,4000.0,413.0
https://www.gsmarena.com/samsung_i929_galaxy_s_ii_duos-4387.php,Samsung,Samsung I929 Galaxy S II Duos,2750554,40,2011.0,129.8,68.9,9.7,138.0,Super AMOLED Plus,480.0,800.0,4.52,65.0,1.0,8.0,2.0,1.0,3.0,,1800.0,264.09999999999997
https://www.gsmarena.com/oppo_find_x2_lite-10176.php,Oppo,Oppo Find X2 Lite,558461,61,2020.0,160.3,74.3,8.0,180.0,"AMOLED, 430 nits (typ)",1080.0,2400.0,6.4,84.3,8.0,,32.0,1.0,5.1,,4025.0,227.99999999999997
https://www.gsmarena.com/tecno_spark_go_2021-10983.php,Tecno,Tecno Spark Go 2021,418092,13,2021.0,165.6,76.3,9.1,193.0,"IPS LCD, 480 nits",720.0,1600.0,6.52,81.2,2.0,,8.0,1.0,4.2,,5000.0,94.39999999999999
https://www.gsmarena.com/sony_xperia_ion_hspa-4798.php,Sony,Sony Xperia ion HSPA,2381990,196,2012.0,133.0,68.0,10.8,144.0,"LED-backlit LCD,",720.0,1280.0,4.55,63.1,1.0,12.0,1.3,1.0,2.1,,1900.0,322.5
https://www.gsmarena.com/htc_wildfire_e3-10790.php,HTC,HTC Wildfire E3,376301,22,2021.0,165.7,76.6,9.0,186.0,IPS LCD,720.0,1560.0,6.52,82.2,4.0,,13.0,1.0,4.2,,4000.0,153.4
https://www.gsmarena.com/blu_neo_4_5-6277.php,BLU,BLU Neo 4.5,291225,4,2014.0,136.0,63.0,10.5,135.0,IPS LCD,480.0,854.0,4.5,65.1,0.5,3.15,,1.0,4.0,,1800.0,93.10000000000001
